Statistic Label,Month,County,Driving Test Categories,UNIT,VALUE
Driving Test Pass Rate,2021 January,Co. Dublin,Category B (Car or light van),%,46.9
Driving Test Pass Rate,2021 January,Co. Galway,Category B (Car or light van),%,67
Driving Test Pass Rate,2021 January,Co. Kildare,Category B (Car or light van),%,57.3
Driving Test Pass Rate,2021 February,Co. Dublin,Category B (Car or light van),%,46.7
Driving Test Pass Rate,2021 February,Co. Galway,Category B (Car or light van),%,61
Driving Test Pass Rate,2021 February,Co. Kildare,Category B (Car or light van),%,50.8
Driving Test Pass Rate,2021 March,Co. Dublin,Category B (Car or light van),%,44.4
Driving Test Pass Rate,2021 March,Co. Galway,Category B (Car or light van),%,57
Driving Test Pass Rate,2021 March,Co. Kildare,Category B (Car or light van),%,56.9
Driving Test Pass Rate,2021 April,Co. Dublin,Category B (Car or light van),%,46.8
Driving Test Pass Rate,2021 April,Co. Galway,Category B (Car or light van),%,60.4
Driving Test Pass Rate,2021 April,Co. Kildare,Category B (Car or light van),%,55.7
Driving Test Pass Rate,2021 May,Co. Dublin,Category B (Car or light van),%,45
Driving Test Pass Rate,2021 May,Co. Galway,Category B (Car or light van),%,59.9
Driving Test Pass Rate,2021 May,Co. Kildare,Category B (Car or light van),%,52.6
Driving Test Pass Rate,2021 June,Co. Dublin,Category B (Car or light van),%,44.7
Driving Test Pass Rate,2021 June,Co. Galway,Category B (Car or light van),%,62
Driving Test Pass Rate,2021 June,Co. Kildare,Category B (Car or light van),%,54.9
Driving Test Pass Rate,2021 July,Co. Dublin,Category B (Car or light van),%,51.2
Driving Test Pass Rate,2021 July,Co. Galway,Category B (Car or light van),%,59.9
Driving Test Pass Rate,2021 July,Co. Kildare,Category B (Car or light van),%,50.6
Driving Test Pass Rate,2021 August,Co. Dublin,Category B (Car or light van),%,50.7
Driving Test Pass Rate,2021 August,Co. Galway,Category B (Car or light van),%,56.4
Driving Test Pass Rate,2021 August,Co. Kildare,Category B (Car or light van),%,55.6
Driving Test Pass Rate,2021 September,Co. Dublin,Category B (Car or light van),%,46.6
Driving Test Pass Rate,2021 September,Co. Galway,Category B (Car or light van),%,56.2
Driving Test Pass Rate,2021 September,Co. Kildare,Category B (Car or light van),%,51.4
Driving Test Pass Rate,2021 October,Co. Dublin,Category B (Car or light van),%,47.6
Driving Test Pass Rate,2021 October,Co. Galway,Category B (Car or light van),%,57.1
Driving Test Pass Rate,2021 October,Co. Kildare,Category B (Car or light van),%,48.6
