Month,County,Driving Test Categories,VALUE,Year,Date
2021 January,Co. Donegal,Category B (Car or light van),65.9,2021,2021-01-01
2021 January,Co. Dublin,Category B (Car or light van),46.9,2021,2021-01-01
2021 January,Co. Galway,Category B (Car or light van),67.0,2021,2021-01-01
2021 February,Co. Donegal,Category B (Car or light van),65.2,2021,2021-02-01
2021 February,Co. Dublin,Category B (Car or light van),46.7,2021,2021-02-01
2021 February,Co. Galway,Category B (Car or light van),61.0,2021,2021-02-01
2021 March,Co. Donegal,Category B (Car or light van),60.7,2021,2021-03-01
2021 March,Co. Dublin,Category B (Car or light van),44.4,2021,2021-03-01
2021 March,Co. Galway,Category B (Car or light van),57.0,2021,2021-03-01
2021 April,Co. Donegal,Category B (Car or light van),61.7,2021,2021-04-01
2021 April,Co. Dublin,Category B (Car or light van),46.8,2021,2021-04-01
2021 April,Co. Galway,Category B (Car or light van),60.4,2021,2021-04-01
2021 May,Co. Donegal,Category B (Car or light van),62.7,2021,2021-05-01
2021 May,Co. Dublin,Category B (Car or light van),45.0,2021,2021-05-01
2021 May,Co. Galway,Category B (Car or light van),59.9,2021,2021-05-01
2021 June,Co. Galway,Category B (Car or light van),62.0,2021,2021-06-01
2021 June,Co. Dublin,Category B (Car or light van),44.7,2021,2021-06-01
2021 June,Co. Donegal,Category B (Car or light van),63.6,2021,2021-06-01
2021 July,Co. Donegal,Category B (Car or light van),52.9,2021,2021-07-01
2021 July,Co. Dublin,Category B (Car or light van),51.2,2021,2021-07-01
2021 July,Co. Galway,Category B (Car or light van),59.9,2021,2021-07-01
2021 August,Co. Donegal,Category B (Car or light van),52.2,2021,2021-08-01
2021 August,Co. Dublin,Category B (Car or light van),50.7,2021,2021-08-01
2021 August,Co. Galway,Category B (Car or light van),56.4,2021,2021-08-01
2021 September,Co. Galway,Category B (Car or light van),56.2,2021,2021-09-01
2021 September,Co. Dublin,Category B (Car or light van),46.6,2021,2021-09-01
2021 September,Co. Donegal,Category B (Car or light van),57.6,2021,2021-09-01
2021 October,Co. Donegal,Category B (Car or light van),54.4,2021,2021-10-01
2021 October,Co. Dublin,Category B (Car or light van),47.6,2021,2021-10-01
2021 October,Co. Galway,Category B (Car or light van),57.1,2021,2021-10-01
