month,Co. Donegal pass rate,Co. Dublin pass rate,Co. Galway pass rate
01-01-2021,65.9,46.9,67.0
01-02-2021,65.2,46.7,61.0
01-03-2021,60.7,44.4,57.0
01-04-2021,61.7,46.8,60.4
01-05-2021,62.7,45.0,59.9
01-06-2021,63.6,44.7,62.0
01-07-2021,52.9,51.2,59.9
01-08-2021,52.2,50.7,56.4
01-09-2021,57.6,46.6,56.2
01-10-2021,54.4,47.6,57.1
01-11-2021,54.2,48.1,59.2
01-12-2021,59.2,47.7,61.9
01-01-2022,60.5,48.5,60.8
01-02-2022,53.6,44.6,57.9
01-03-2022,56.8,46.8,59.2
01-04-2022,56.9,45.1,59.6
01-05-2022,55.2,43.0,55.8
01-06-2022,61.2,44.7,58.4
01-07-2022,53.8,45.2,59.5
01-08-2022,53.7,44.5,60.1
01-09-2022,57.2,44.4,57.7
01-10-2022,56.0,47.5,56.7
01-11-2022,56.6,47.5,55.4
01-12-2022,53.9,45.5,58.6
01-01-2023,62.0,45.4,59.4
01-02-2023,54.8,42.5,57.8
01-03-2023,54.8,43.3,60.0
01-04-2023,51.2,46.4,58.7
01-05-2023,57.9,45.3,60.1
01-06-2023,57.9,45.9,60.6
01-07-2023,62.2,46.3,61.9
01-08-2023,56.2,47.6,59.3
01-09-2023,63.7,47.1,59.8
01-10-2023,53.3,44.5,57.9
01-11-2023,54.7,44.7,56.7
01-12-2023,54.0,45.4,58.7
01-01-2024,58.3,44.1,56.4
01-02-2024,60.0,43.1,56.1
01-03-2024,59.6,42.9,53.7
01-04-2024,56.1,43.6,57.0
01-05-2024,53.3,43.7,56.1
01-06-2024,55.7,43.6,57.5
01-07-2024,58.4,42.6,59.2
01-08-2024,51.2,43.6,55.9
01-09-2024,57.5,41.2,55.2
01-10-2024,57.5,41.5,56.4
01-11-2024,58.4,42.8,56.0
01-12-2024,53.0,43.7,58.5
