Statistic Label,Month,County,Driving Test Categories,UNIT,VALUE
Driving Tests Delivered,2021 January,Co. Donegal,Category B (Car or light van),Number,335
Driving Tests Delivered,2021 January,Co. Dublin,Category B (Car or light van),Number,3984
Driving Tests Delivered,2021 January,Co. Galway,Category B (Car or light van),Number,546
Driving Tests Delivered,2021 February,Co. Donegal,Category B (Car or light van),Number,342
Driving Tests Delivered,2021 February,Co. Dublin,Category B (Car or light van),Number,3195
Driving Tests Delivered,2021 February,Co. Galway,Category B (Car or light van),Number,583
Driving Tests Delivered,2021 March,Co. Donegal,Category B (Car or light van),Number,287
Driving Tests Delivered,2021 March,Co. Dublin,Category B (Car or light van),Number,2997
Driving Tests Delivered,2021 March,Co. Galway,Category B (Car or light van),Number,536
Driving Tests Delivered,2021 April,Co. Donegal,Category B (Car or light van),Number,339
Driving Tests Delivered,2021 April,Co. Dublin,Category B (Car or light van),Number,2607
Driving Tests Delivered,2021 April,Co. Galway,Category B (Car or light van),Number,461
Driving Tests Delivered,2021 May,Co. Donegal,Category B (Car or light van),Number,275
Driving Tests Delivered,2021 May,Co. Dublin,Category B (Car or light van),Number,2684
Driving Tests Delivered,2021 May,Co. Galway,Category B (Car or light van),Number,476
Driving Tests Delivered,2021 June,Co. Donegal,Category B (Car or light van),Number,275
Driving Tests Delivered,2021 June,Co. Dublin,Category B (Car or light van),Number,2449
Driving Tests Delivered,2021 June,Co. Galway,Category B (Car or light van),Number,554
Driving Tests Delivered,2021 July,Co. Donegal,Category B (Car or light van),Number,398
Driving Tests Delivered,2021 July,Co. Dublin,Category B (Car or light van),Number,3876
Driving Tests Delivered,2021 July,Co. Galway,Category B (Car or light van),Number,733
Driving Tests Delivered,2021 August,Co. Donegal,Category B (Car or light van),Number,336
Driving Tests Delivered,2021 August,Co. Dublin,Category B (Car or light van),Number,3932
Driving Tests Delivered,2021 August,Co. Galway,Category B (Car or light van),Number,651
Driving Tests Delivered,2021 September,Co. Donegal,Category B (Car or light van),Number,351
Driving Tests Delivered,2021 September,Co. Dublin,Category B (Car or light van),Number,3641
Driving Tests Delivered,2021 September,Co. Galway,Category B (Car or light van),Number,782
Driving Tests Delivered,2021 October,Co. Donegal,Category B (Car or light van),Number,563
Driving Tests Delivered,2021 October,Co. Dublin,Category B (Car or light van),Number,4207
Driving Tests Delivered,2021 October,Co. Galway,Category B (Car or light van),Number,773
Driving Tests Delivered,2021 November,Co. Donegal,Category B (Car or light van),Number,612
Driving Tests Delivered,2021 November,Co. Dublin,Category B (Car or light van),Number,4390
Driving Tests Delivered,2021 November,Co. Galway,Category B (Car or light van),Number,910
Driving Tests Delivered,2021 December,Co. Donegal,Category B (Car or light van),Number,347
Driving Tests Delivered,2021 December,Co. Dublin,Category B (Car or light van),Number,3440
Driving Tests Delivered,2021 December,Co. Galway,Category B (Car or light van),Number,642
Driving Tests Delivered,2022 January,Co. Donegal,Category B (Car or light van),Number,483
Driving Tests Delivered,2022 January,Co. Dublin,Category B (Car or light van),Number,4369
Driving Tests Delivered,2022 January,Co. Galway,Category B (Car or light van),Number,794
Driving Tests Delivered,2022 February,Co. Donegal,Category B (Car or light van),Number,515
Driving Tests Delivered,2022 February,Co. Dublin,Category B (Car or light van),Number,4492
Driving Tests Delivered,2022 February,Co. Galway,Category B (Car or light van),Number,787
Driving Tests Delivered,2022 March,Co. Donegal,Category B (Car or light van),Number,442
Driving Tests Delivered,2022 March,Co. Dublin,Category B (Car or light van),Number,4405
Driving Tests Delivered,2022 March,Co. Galway,Category B (Car or light van),Number,823
Driving Tests Delivered,2022 April,Co. Donegal,Category B (Car or light van),Number,527
Driving Tests Delivered,2022 April,Co. Dublin,Category B (Car or light van),Number,3671
Driving Tests Delivered,2022 April,Co. Galway,Category B (Car or light van),Number,798
Driving Tests Delivered,2022 May,Co. Donegal,Category B (Car or light van),Number,595
Driving Tests Delivered,2022 May,Co. Dublin,Category B (Car or light van),Number,4398
Driving Tests Delivered,2022 May,Co. Galway,Category B (Car or light van),Number,720
Driving Tests Delivered,2022 June,Co. Donegal,Category B (Car or light van),Number,477
Driving Tests Delivered,2022 June,Co. Dublin,Category B (Car or light van),Number,3619
Driving Tests Delivered,2022 June,Co. Galway,Category B (Car or light van),Number,748
Driving Tests Delivered,2022 July,Co. Donegal,Category B (Car or light van),Number,492
Driving Tests Delivered,2022 July,Co. Dublin,Category B (Car or light van),Number,3843
Driving Tests Delivered,2022 July,Co. Galway,Category B (Car or light van),Number,659
