Month,Co. Dublin Value,Co. Galway Value,Co. Kildare Value
2021 April,46.8,60.4,55.7
2021 August,50.7,56.4,55.6
2021 December,47.7,61.9,45.0
2021 February,46.7,61.0,50.8
2021 January,46.9,67.0,57.3
2021 July,51.2,59.9,50.6
2021 June,44.7,62.0,54.9
2021 March,44.4,57.0,56.9
2021 May,45.0,59.9,52.6
2021 November,48.1,59.2,50.8
2021 October,47.6,57.1,48.6
2021 September,46.6,56.2,51.4
2022 April,45.1,59.6,49.6
2022 August,44.5,60.1,50.3
2022 December,45.5,58.6,45.7
2022 February,44.6,57.9,49.8
2022 January,48.5,60.8,48.6
2022 July,45.2,59.5,49.1
2022 June,44.7,58.4,50.7
2022 March,46.8,59.2,47.0
2022 May,43.0,55.8,48.2
2022 November,47.5,55.4,51.9
2022 October,47.5,56.7,50.9
2022 September,44.4,57.7,50.5
2023 April,46.4,58.7,53.1
2023 August,47.6,59.3,48.9
2023 December,45.4,58.7,49.7
2023 February,42.5,57.8,50.2
2023 January,45.4,59.4,51.5
2023 July,46.3,61.9,51.6
2023 June,45.9,60.6,50.0
2023 March,43.3,60.0,52.3
2023 May,45.3,60.1,51.0
2023 November,44.7,56.7,50.6
2023 October,44.5,57.9,51.2
2023 September,47.1,59.8,51.6
2024 April,43.6,57.0,51.2
2024 August,43.6,55.9,51.1
2024 December,43.7,58.5,49.5
2024 February,43.1,56.1,52.7
2024 January,44.1,56.4,54.3
2024 July,42.6,59.2,50.4
2024 June,43.6,57.5,50.5
2024 March,42.9,53.7,50.4
2024 May,43.7,56.1,51.0
2024 November,42.8,56.0,48.4
2024 October,41.5,56.4,51.6
2024 September,41.2,55.2,48.3
